Date,Open,High,Low,Close,Volume,Year
16-02-2009,475.8,491.5,462,464.9,116720,2009
17-02-2009,455.1,477.95,455.1,475.75,30053,2009
18-02-2009,470,505,461.1,495.5,173850,2009
19-02-2009,501.05,509,492.6,497.15,179229,2009
20-02-2009,489,501.8,481.15,499.65,36763,2009
24-02-2009,484.95,499,483.7,493.85,273081,2009
25-02-2009,487,511.85,487,509.95,119739,2009
26-02-2009,510,539,510,526.05,80263,2009
27-02-2009,534.6,538.5,519.95,535.05,66949,2009
02-03-2009,525.25,535,492.5,506.2,107647,2009
03-03-2009,503.65,503.65,482.2,486.15,104374,2009
04-03-2009,487,496,481.15,490.85,50317,2009
05-03-2009,490.05,509,484,487.2,110801,2009
06-03-2009,485,493,477,486.75,18991,2009
09-03-2009,494,500,478.05,494.05,42927,2009
12-03-2009,496,520,490.15,517.1,99959,2009
13-03-2009,540,540,515,520.1,224864,2009
16-03-2009,525,538,513.25,535.6,154980,2009
17-03-2009,526.1,547,526.1,542.5,312892,2009
18-03-2009,546,584.95,546,577.6,147299,2009
19-03-2009,578,583.95,555,561.7,77791,2009
20-03-2009,550,568,530.05,558.2,159445,2009
23-03-2009,578,585,561,579.75,83945,2009
24-03-2009,588,607.85,584,588.55,93357,2009
25-03-2009,584.95,628,573,615.95,112348,2009
26-03-2009,625,636,608.8,619.35,188429,2009
27-03-2009,613.5,635,613.5,624.4,134160,2009
30-03-2009,617,636,592.2,610.4,120810,2009
31-03-2009,615.1,640,581,618.45,196371,2009
01-04-2009,624.35,639.1,617,634.4,67080,2009
02-04-2009,635,645.1,602.3,640.75,338450,2009
06-04-2009,641,679.5,636,655.45,137094,2009
08-04-2009,632,652,631,635.6,119647,2009
09-04-2009,643,651.9,602,607.15,161558,2009
13-04-2009,613,628.7,596,605.55,145254,2009
15-04-2009,535,637,535,635.25,362022,2009
16-04-2009,641.25,665,638,658.85,279996,2009
17-04-2009,662,676,655.1,665.45,120726,2009
20-04-2009,665,689.8,643.05,648.3,92134,2009
21-04-2009,645,681,615.55,632.3,65834,2009
22-04-2009,647,661.05,630.15,634.4,71207,2009
23-04-2009,635,644.7,625.05,637.15,88466,2009
24-04-2009,645,645,612.5,626.35,59351,2009
27-04-2009,622,641,613,615.1,186087,2009
28-04-2009,625,630,600,624.5,102580,2009
29-04-2009,620.1,651,619.9,641.65,142522,2009
04-05-2009,642,679.9,624.4,662.6,472170,2009
05-05-2009,664,695,664,682.8,329579,2009
06-05-2009,670,695,670,684.55,498046,2009
07-05-2009,684.7,706,672.1,676.65,74593,2009
08-05-2009,694.5,699.9,675.05,679.9,63239,2009
11-05-2009,685,694.5,660,681,43461,2009
12-05-2009,676,695,666.3,685.45,131495,2009
13-05-2009,684,739,684,737.55,268402,2009
14-05-2009,732,807,732,794.75,705366,2009
15-05-2009,801,809,785,792.95,195641,2009
18-05-2009,810,912,810,889.65,12393,2009
19-05-2009,898.5,974,855.1,903.3,367845,2009
20-05-2009,866.1,899,861,882.4,109601,2009
21-05-2009,870,944.5,870,926.3,425964,2009
22-05-2009,910,989.95,906.1,941,585193,2009
25-05-2009,930,960,930,948.5,89552,2009
26-05-2009,975,1000,890,926.35,206422,2009
27-05-2009,930,950,901.05,913.25,255778,2009
28-05-2009,916.6,974.95,900.15,950.95,349209,2009
29-05-2009,968.1,1060,960.75,1034.25,2007891,2009
01-06-2009,1028.5,1111,980,1061.75,406615,2009
02-06-2009,1064.8,1110,1040.1,1083.3,185935,2009
03-06-2009,1099.95,1136.5,1077.15,1117.85,384915,2009
04-06-2009,1117,1129.5,1077.1,1100.75,195948,2009
05-06-2009,1150,1159,1102.7,1133.4,221811,2009
08-06-2009,1124.85,1129.85,1048,1079.05,188041,2009
09-06-2009,1070,1079.45,1022.1,1043.55,174422,2009
10-06-2009,1089.95,1111,1031.05,1066.4,270291,2009
11-06-2009,1067,1090,1019.9,1045.4,137879,2009
12-06-2009,1040,1079.8,990.2,1006.8,57424,2009
15-06-2009,1001.15,1020,995,1002.9,76505,2009
16-06-2009,1001,1001,942.9,995.5,35551,2009
17-06-2009,986.05,1027.5,970,1009.35,70084,2009
18-06-2009,992,1030,920,978.05,77486,2009
19-06-2009,990.1,998,944.8,974.5,85670,2009
22-06-2009,970.15,979,950.15,955.35,49074,2009
23-06-2009,953.45,958.45,935,938.8,37966,2009
24-06-2009,940,987,936.05,961.3,261046,2009
25-06-2009,966.05,989.7,956.3,978.4,161842,2009
26-06-2009,994,1025,983,1004.1,64936,2009
29-06-2009,995,1056,995,1044.4,97045,2009
30-06-2009,1030.1,1056.65,978.9,1003.05,210551,2009
01-07-2009,990.6,1021.9,950.55,1009.2,61211,2009
02-07-2009,1008.4,1008.4,960.05,978.2,78383,2009
03-07-2009,969.9,1005,969.9,984.85,36208,2009
06-07-2009,965,999,934,961.4,38444,2009
07-07-2009,965,1010,906.55,989.6,147391,2009
08-07-2009,985,1014.8,953.95,973.15,37387,2009
09-07-2009,973,1010,973,1000.85,333395,2009
10-07-2009,1010,1031.9,1008.05,1015.3,247479,2009
13-07-2009,1008,1034.9,982,1019.3,35547,2009
14-07-2009,1026,1090,1025.05,1068.1,261696,2009
15-07-2009,1075,1122.95,1063,1090.1,152163,2009
16-07-2009,1115,1211,1110.55,1147.3,465681,2009
17-07-2009,1159,1205,1131.05,1153.6,234667,2009
20-07-2009,1175,1196.5,1165,1185.2,319548,2009
21-07-2009,1195,1200,1175.2,1189.85,56508,2009
22-07-2009,1191.8,1228,1155.35,1165.55,187704,2009
23-07-2009,1179.5,1187.5,1140.1,1171.05,66588,2009
24-07-2009,1180,1207.85,1163.1,1187.8,104429,2009
27-07-2009,1184,1228,1184,1199.95,936412,2009
28-07-2009,1210,1225.7,1192.55,1222.2,178852,2009
29-07-2009,1219,1219,1172,1204.55,244620,2009
30-07-2009,1285,1285,1185,1218.35,344408,2009
31-07-2009,1238,1264.4,1210,1221.75,262414,2009
03-08-2009,1225.65,1358,1225.65,1301.65,308901,2009
04-08-2009,1308,1348,1281,1321.85,606620,2009
05-08-2009,1328.85,1350,1280,1286.65,116435,2009
06-08-2009,1286.65,1299.95,1232,1261.3,204523,2009
07-08-2009,1235,1249.7,1155,1175.8,265330,2009
10-08-2009,1200,1218,1040.1,1072.85,288208,2009
11-08-2009,1077,1127.95,1053.05,1099.05,249875,2009
12-08-2009,1076.1,1125,1050,1092.1,228266,2009
13-08-2009,1105,1149,1050,1130.75,265267,2009
14-08-2009,1131,1167,1101.15,1122.4,106095,2009
17-08-2009,1100,1148.6,1072.1,1113.1,172774,2009
18-08-2009,1130,1146.85,1101.05,1141.2,66023,2009
19-08-2009,1131.5,1149.3,1070.2,1099.65,67240,2009
20-08-2009,1100,1124.4,1092,1107.45,223727,2009
21-08-2009,1125,1146.8,1104,1127.75,133170,2009
24-08-2009,1144.8,1160,1113.05,1128.25,555296,2009
25-08-2009,1100,1155,1052.1,1134.6,335511,2009
26-08-2009,1137,1168.9,1128,1146.6,230151,2009
27-08-2009,1150,1167.75,1141.35,1155.25,240531,2009
28-08-2009,1169,1219,1151,1207.35,258536,2009
31-08-2009,1205,1220,1178,1215.7,259974,2009
01-09-2009,1221,1254,1212.1,1224.75,272735,2009
02-09-2009,1203,1267.65,1162.2,1176.2,244018,2009
03-09-2009,1197.9,1224.65,1191.1,1212,305900,2009
04-09-2009,1222,1239.1,1206,1234.45,110375,2009
07-09-2009,1237,1278,1237,1274.6,298294,2009
08-09-2009,1280,1290.25,1256.45,1260.95,71289,2009
09-09-2009,1240,1260,1221.05,1235.05,80057,2009
10-09-2009,1220,1255,1218,1235.6,69310,2009
11-09-2009,1252,1285,1228.45,1275.5,361717,2009
14-09-2009,1282,1306,1261.15,1282.35,188837,2009
15-09-2009,1301.55,1385,1292,1366.6,310548,2009
16-09-2009,1380,1419.7,1362.05,1387.45,283609,2009
17-09-2009,1395,1430,1370,1413.7,235861,2009
18-09-2009,1413,1472,1413,1457.6,215212,2009
22-09-2009,1430,1534,1430,1485.95,376519,2009
23-09-2009,1509,1515.65,1469,1475.25,137659,2009
24-09-2009,1479,1480,1432.4,1459.75,158953,2009
25-09-2009,1460,1475.1,1440,1447.25,65029,2009
29-09-2009,1301,1474.8,1301,1434.6,131545,2009
30-09-2009,1447.9,1500,1436,1494.75,179304,2009
